"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_symbol"
"ENSG00000060718",191.694693969992,5.03401320773602,0.524921190163206,9.59003618461443,8.80541262883284e-22,2.21288824775198e-17,"COL11A1"
"ENSG00000148848",120.963637735178,3.86150019524605,0.411854935903364,9.37587450973782,6.86046609340512e-21,8.6205186696682e-17,"ADAM12"
"ENSG00000103888",621.468675623404,3.77042893560776,0.40919778379299,9.21419686259883,3.13617217954657e-20,2.62717143480617e-16,"CEMIP"
"ENSG00000196611",288.073650127495,5.13944726598772,0.578526040650871,8.883692184721,6.46770944422984e-19,4.0635001510735e-15,"MMP1"
"ENSG00000122641",254.235426402551,4.31097479609301,0.50909157438371,8.46797514044842,2.49695583949209e-17,1.25501994404552e-13,"INHBA"
"ENSG00000078098",91.8397828725691,3.74044447937858,0.448391400321104,8.34191841480446,7.30948790822288e-17,3.06157901035915e-13,"FAP"
"ENSG00000132693",2732.42008340534,-6.85013273082377,0.864504118479583,-7.92377107800389,2.30413651427541e-15,7.56652958410622e-12,"CRP"
"ENSG00000130649",3327.55082403458,-6.43719120988294,0.81295577516504,-7.9182550964425,2.40866804635111e-15,7.56652958410622e-12,"CYP2E1"
"ENSG00000164379",234.251305702289,4.57039611208132,0.57994726439353,7.88070983809317,3.25526447582443e-15,9.08978350466043e-12,"FOXQ1"
"ENSG00000164932",191.065270015541,3.42563278151323,0.438259475712812,7.8164488650053,5.43343753192708e-15,1.36547718614859e-11,"CTHRC1"
"ENSG00000123500",113.426118327632,5.41291118073983,0.696111367199641,7.77592700793728,7.48968861369669e-15,1.68354920744079e-11,"COL10A1"
"ENSG00000172031",23.2195689707795,4.03413103804837,0.51982207261606,7.76059973318596,8.45287013181361e-15,1.68354920744079e-11,"EPHX4"
"ENSG00000105989",35.2004761169444,4.73221625465289,0.610072009431218,7.75681588648007,8.70882165322919e-15,1.68354920744079e-11,"WNT2"
"ENSG00000110169",2938.72530076944,-6.13296496752717,0.793770227781054,-7.72637314033757,1.10653965106415e-14,1.98631771220665e-11,"HPX"
"ENSG00000011201",44.5447108453764,2.50247328826562,0.327550325896264,7.63996580195179,2.17279443830288e-14,3.64029980193265e-11,"ANOS1"
